EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
365,1.12,72.48,4.97528E+10,4.97528E+10,4035.00,0.00,1700.00,0.47199,0.00,0.00,0.00,0.00,0.00,0.00,773.00,0.22182,0.00,0.00,60.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1772.00,30.00,0.00,0.00,0.00,469.00,0.00,18.00,11.00,7.50,4.58333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,391.00,0.00,589.00,1.00,30.00,74.00,0.00,1.00,74.00,0.00,192.00,1.00,191.00,191.00,469.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,832.00,832.00,1120.00,1120.00,0.00,0.00,0.00,0.00,1536.00,0.00,126.00,24.00,109.00,0.00,0.00
368,0.96,73.76,4.97528E+10,4.97528E+10,5801.00,0.00,1546.00,0.25593,0.00,0.00,0.00,0.00,0.00,0.00,2558.00,0.44455,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1570.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,133.00,81.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,14270.00,0.00,14264.00,1.00,355.00,304.00,0.00,1.00,304.00,0.00,4224.00,1.00,4223.00,4223.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3840.00,3840.00,10336.00,10336.00,0.00,75.00,0.00,0.00,128.00,0.00,15096.00,2.00,1600.00,0.00,0.00
371,0.80,74.24,4.97528E+10,4.97528E+10,3895.00,0.00,1736.00,0.34419,0.00,0.00,0.00,0.00,0.00,0.00,589.00,0.12515,0.00,0.00,64.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1903.00,32.00,0.00,0.00,0.00,499.00,0.00,18.00,11.00,7.50,4.58333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,580.00,0.00,499.00,1.00,41.00,82.00,0.00,0.00,82.00,0.00,205.00,4.00,201.00,201.00,499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,928.00,928.00,1344.00,1344.00,0.00,0.00,0.00,0.00,1344.00,0.00,143.00,21.00,109.00,0.00,0.00
374,101.60,177.60,4.97528E+10,4.97528E+10,140272.00,0.00,1564.00,1.11245,0.00,0.00,0.00,0.00,0.00,0.00,137395.00,99.33064,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1620.00,2.00,0.00,0.00,0.00,562836.00,0.00,18.00,11.00,4418.50,2700.19444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135224.00,0.00,491920.00,0.00,492162.00,1.00,120910.00,9214.00,0.00,0.00,9214.00,0.00,141363.00,0.00,141363.00,141363.00,20244.00,0.00,0.00,0.00,0.00,0.00,633.00,0.00,0.00,66656.00,66656.00,1093504.00,1093504.00,0.00,9220.00,0.00,0.00,1.88051E+07,0.00,86562.00,293822.00,135224.00,0.00,0.00
377,0.16,177.28,4.97528E+10,4.97528E+10,4317.00,0.00,1853.00,0.06643,0.00,0.00,0.00,0.00,0.00,0.00,956.00,0.03543,0.00,0.00,100.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,2015.00,58.00,0.00,0.00,0.00,2304.00,0.00,18.00,11.00,25.50,15.58333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,2272.00,0.00,2142.00,1.00,84.00,182.00,0.00,10.00,182.00,0.00,808.00,30.00,778.00,778.00,1920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1952.00,1952.00,7200.00,7200.00,0.00,0.00,0.00,0.00,4672.00,0.00,105.00,73.00,109.00,0.00,0.00
380,0.16,145.92,4.97528E+10,4.97528E+10,3769.00,0.00,1807.00,0.0741,0.00,0.00,0.00,0.00,0.00,0.00,535.00,0.02444,0.00,0.00,20.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1694.00,10.00,0.00,0.00,0.00,148.00,0.00,18.00,11.00,2.50,1.52778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,188.00,0.00,160.00,1.00,3.00,20.00,0.00,0.00,20.00,0.00,64.00,2.00,62.00,62.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.00,224.00,832.00,832.00,0.00,0.00,0.00,0.00,384.00,0.00,29.00,6.00,77.00,0.00,0.00
383,0.32,112.80,4.97528E+10,4.97528E+10,4017.00,0.00,1617.00,0.12856,0.00,0.00,0.00,0.00,0.00,0.00,735.00,0.06274,0.00,0.00,20.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1690.00,10.00,0.00,0.00,0.00,138.00,0.00,18.00,11.00,3.00,1.83333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,178.00,0.00,148.00,1.00,1.00,18.00,0.00,1.00,18.00,0.00,73.00,6.00,67.00,67.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.00,224.00,768.00,768.00,0.00,0.00,0.00,0.00,896.00,0.00,26.00,14.00,77.00,0.00,0.00
386,0.16,110.56,4.97528E+10,4.97528E+10,4297.00,0.00,1824.00,0.06795,0.00,0.00,0.00,0.00,0.00,0.00,867.00,0.03136,0.00,0.00,96.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,1942.00,48.00,0.00,0.00,0.00,4571.00,0.00,18.00,11.00,44.00,26.88889,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,4024.00,0.00,4184.00,1.00,91.00,222.00,0.00,0.00,222.00,0.00,1398.00,4.00,1394.00,1394.00,4059.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2592.00,2592.00,9376.00,9376.00,0.00,0.00,0.00,0.00,3776.00,0.00,80.00,59.00,186.00,0.00,0.00
389,0.16,109.28,4.97528E+10,4.97528E+10,3882.00,0.00,1617.00,0.06885,0.00,0.00,0.00,0.00,0.00,0.00,727.00,0.02995,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,2017.00,2.00,0.00,0.00,0.00,54.00,0.00,18.00,11.00,1.00,0.61111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,62.00,0.00,62.00,1.00,1.00,6.00,0.00,1.00,6.00,0.00,27.00,2.00,25.00,25.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,96.00,384.00,384.00,0.00,0.00,0.00,0.00,192.00,0.00,3.00,3.00,61.00,0.00,0.00
392,0.16,107.52,4.97528E+10,4.97528E+10,3889.00,0.00,1608.00,0.06616,0.00,0.00,0.00,0.00,0.00,0.00,710.00,0.02735,0.00,0.00,32.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1712.00,16.00,0.00,0.00,0.00,250.00,0.00,18.00,11.00,4.00,2.44444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,250.00,0.00,314.00,1.00,8.00,38.00,0.00,1.00,38.00,0.00,105.00,2.00,103.00,103.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.00,448.00,1504.00,1504.00,0.00,0.00,0.00,0.00,1728.00,0.00,48.00,27.00,77.00,0.00,0.00
395,1.28,107.04,4.97528E+10,4.97528E+10,4292.00,0.00,2094.00,0.6242,0.00,0.00,0.00,0.00,0.00,0.00,919.00,0.27401,0.00,0.00,96.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,2133.00,48.00,0.00,0.00,0.00,4571.00,0.00,18.00,11.00,46.00,28.11111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.00,0.00,4011.00,0.00,4203.00,1.00,110.00,259.00,0.00,2.00,259.00,0.00,1462.00,23.00,1439.00,1439.00,3483.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2592.00,2592.00,8448.00,8448.00,0.00,0.00,0.00,0.00,1920.00,0.00,80.00,30.00,154.00,0.00,0.00
398,0.32,3.04,4.97528E+10,4.97528E+10,3749.00,0.00,1622.00,0.1383,0.00,0.00,0.00,0.00,0.00,0.00,503.00,0.04449,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1651.00,2.00,0.00,0.00,0.00,54.00,0.00,18.00,11.00,1.00,0.61111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,62.00,0.00,38.00,1.00,1.00,5.00,0.00,0.00,5.00,0.00,23.00,2.00,21.00,21.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,96.00,256.00,256.00,0.00,0.00,0.00,0.00,128.00,0.00,5.00,2.00,77.00,0.00,0.00
401,0.32,3.52,4.97528E+10,4.97528E+10,3620.00,0.00,1617.00,0.13762,0.00,0.00,0.00,0.00,0.00,0.00,534.00,0.04718,0.00,0.00,32.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1664.00,16.00,0.00,0.00,0.00,228.00,0.00,18.00,11.00,4.50,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,263.00,0.00,193.00,1.00,21.00,36.00,0.00,2.00,36.00,0.00,117.00,9.00,108.00,108.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.00,448.00,1440.00,1440.00,0.00,0.00,0.00,0.00,640.00,0.00,51.00,10.00,77.00,0.00,0.00
404,0.48,3.52,4.97528E+10,4.97528E+10,4291.00,0.00,1887.00,0.20465,0.00,0.00,0.00,0.00,0.00,0.00,884.00,0.0987,0.00,0.00,104.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,1893.00,52.00,0.00,0.00,0.00,4589.00,0.00,18.00,11.00,44.50,27.19444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,4321.00,0.00,4311.00,1.00,117.00,193.00,0.00,1.00,193.00,0.00,1413.00,7.00,1406.00,1406.00,4077.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1728.00,1728.00,4576.00,4576.00,0.00,0.00,0.00,0.00,3392.00,0.00,65.00,53.00,186.00,0.00,0.00
407,0.32,3.36,4.97528E+10,4.97528E+10,3618.00,0.00,1576.00,0.13947,0.00,0.00,0.00,0.00,0.00,0.00,513.00,0.0454,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1595.00,2.00,0.00,0.00,0.00,54.00,0.00,18.00,11.00,1.50,0.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,23.00,0.00,62.00,1.00,1.00,6.00,0.00,0.00,6.00,0.00,27.00,2.00,25.00,25.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,64.00,160.00,160.00,0.00,0.00,0.00,0.00,64.00,0.00,5.00,1.00,77.00,0.00,0.00
410,0.32,5.28,4.97528E+10,4.97528E+10,7277.00,0.00,4376.00,0.1821,0.00,0.00,0.00,0.00,0.00,0.00,3032.00,0.13324,0.00,0.00,660.00,13.00,3.00,4.33333,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3322.00,331.00,0.00,0.00,0.00,26933.00,0.00,18.00,11.00,260.50,159.19444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,566.00,0.00,24875.00,0.00,24936.00,1.00,1025.00,1372.00,0.00,39.00,1372.00,0.00,8491.00,185.00,8306.00,8306.00,20789.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,21056.00,21056.00,50336.00,50336.00,0.00,0.00,0.00,0.00,18944.00,0.00,673.00,296.00,566.00,0.00,0.00
413,0.32,5.28,4.97528E+10,4.97528E+10,4311.00,0.00,1882.00,0.14421,0.00,0.00,0.00,0.00,0.00,0.00,925.00,0.07081,0.00,0.00,88.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,1996.00,44.00,2.00,0.00,0.00,3589.00,0.00,18.00,11.00,35.50,21.69444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,3268.00,0.00,3070.00,1.00,98.00,176.00,0.00,7.00,176.00,0.00,1132.00,21.00,1111.00,1111.00,2885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016.00,2016.00,4544.00,4544.00,0.00,0.00,0.00,0.00,2688.00,0.00,76.00,42.00,109.00,0.00,0.00
416,0.16,5.12,4.97528E+10,4.97528E+10,4591.00,0.00,1893.00,0.07001,0.00,0.00,0.00,0.00,0.00,0.00,925.00,0.03424,0.00,0.00,116.00,13.00,3.00,0.72222,0.16667,0.00,0.00,0.00,0.00,0.00,0.00,1951.00,58.00,0.00,0.00,0.00,5827.00,0.00,18.00,11.00,55.50,33.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,5030.00,0.00,5300.00,1.00,137.00,239.00,0.00,6.00,239.00,0.00,1777.00,17.00,1760.00,1760.00,4675.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4032.00,4032.00,8992.00,8992.00,0.00,0.00,0.00,0.00,2560.00,0.00,76.00,40.00,186.00,0.00,0.00
419,1.28,6.56,4.97528E+10,4.97528E+10,6877.00,0.00,1678.00,0.30644,0.00,0.00,0.00,0.00,0.00,0.00,3214.00,0.597,0.00,0.00,20.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,12.00,2.00,0.00,0.00,79145.00,0.00,18.00,11.00,694.50,424.41667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1283.00,0.00,69121.00,0.00,69398.00,1.00,2743.00,2255.00,0.00,16.00,2255.00,0.00,22255.00,66.00,22189.00,22189.00,40873.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23296.00,23296.00,68320.00,68320.00,0.00,0.00,0.00,0.00,640.00,0.00,123.00,10.00,1283.00,0.00,0.00
422,0.16,6.40,4.97528E+10,4.97528E+10,3884.00,0.00,1622.00,0.06461,0.00,0.00,0.00,0.00,0.00,0.00,793.00,0.03263,0.00,0.00,16.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1684.00,8.00,0.00,0.00,0.00,2962.00,0.00,18.00,11.00,47.00,28.72222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,2778.00,0.00,2650.00,1.00,108.00,641.00,0.00,330.00,641.00,0.00,2803.00,1322.00,1481.00,1481.00,2962.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,64.00,9120.00,9120.00,0.00,0.00,0.00,0.00,256.00,0.00,14.00,4.00,186.00,0.00,0.00
