EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
282,510.88,508.16,4.97528E+10,4.97528E+10,654476.00,0.00,2625.00,2.04552,0.00,0.00,0.00,0.00,0.00,0.00,648578.00,506.65074,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,2763.00,2.00,0.00,0.00,0.00,2410848.00,1125.00,47.00,37.00,27820.58333,19421.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647178.00,0.00,1.79370E+07,0.00,1.79299E+07,1.00,603411.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,2918.00,0.00,0.00,680960.00,861696.00,3.85646E+07,3.87191E+07,604676.00,656.00,0.00,0.00,1.98008E+07,0.00,408954.00,309395.00,647178.00,0.00,0.00
309,1340.00,1332.64,4.97528E+10,4.97528E+10,1719410.00,0.00,2872.00,2.24739,0.00,0.00,0.00,0.00,0.00,0.00,1708318.00,1336.15575,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,2691.00,2.00,0.00,0.00,0.00,1205424.00,5137.00,94.38943,32.73181,54585.33333,17181.47222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1711767.00,0.00,8633321.00,0.00,8638379.00,1.00,1656475.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,5735.00,0.00,0.00,342624.00,432864.00,1.92495E+07,1.93150E+07,302338.00,175884.00,0.00,0.00,2.07656E+08,0.00,3318499.00,3244394.00,1711767.00,0.00,0.00
319,61.60,1392.80,4.97528E+10,4.97528E+10,88902.00,0.00,3367.00,2.3558,0.00,0.00,0.00,0.00,0.00,0.00,81360.00,57.09864,0.00,0.00,6.00,49.00,4.00,1.36111,0.11111,0.00,0.00,0.00,0.00,0.00,0.00,3873.00,2.00,0.00,2.00,0.00,873554.00,2054.00,9.00,11.00,3432.50,4195.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71914.00,0.00,768460.00,0.00,769100.00,1.00,30354.00,14283.00,0.00,0.00,14283.00,0.00,219650.00,2.00,219648.00,219648.00,0.00,0.00,0.00,3464.00,870090.00,0.00,0.00,1065056.00,14080.00,0.00,8704.00,92224.00,100928.00,973.00,5104.00,0.00,0.00,8187136.00,0.00,131791.00,127905.00,71914.00,0.00,0.00
331,218.08,214.72,4.97528E+10,4.97528E+10,269785.00,0.00,2674.00,2.1278,0.00,0.00,0.00,0.00,0.00,0.00,265695.00,212.57939,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,2711.00,2.00,0.00,0.00,0.00,1205424.00,183921.00,26.00,12.00,27820.58333,6299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74769.00,0.00,1055228.00,0.00,1055189.00,1.00,253559.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,187128.00,0.00,0.00,50112.00,140352.00,1.92495E+07,1.93150E+07,302338.00,0.00,0.00,0.00,1.94246E+07,0.00,258.00,303510.00,74769.00,0.00,0.00
344,35.84,36.48,4.97528E+10,4.97528E+10,47174.00,0.00,3336.00,2.53466,0.00,0.00,0.00,0.00,0.00,0.00,41652.00,31.11118,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,3455.00,2.00,0.00,0.00,0.00,1175328.00,3115.00,18.00,11.00,9226.50,5638.41667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17828.00,0.00,1029413.00,0.00,1029626.00,1.00,38850.00,18868.00,0.00,0.00,18868.00,0.00,295206.00,0.00,295206.00,295206.00,25696.00,0.00,0.00,0.00,0.00,0.00,3314.00,0.00,0.00,7712.00,29216.00,594720.00,594720.00,0.00,0.00,0.00,0.00,896.00,0.00,86.00,14.00,17828.00,0.00,0.00
347,33.12,69.12,4.97528E+10,4.97528E+10,45135.00,0.00,3242.00,2.36712,0.00,0.00,0.00,0.00,0.00,0.00,40474.00,29.72743,0.00,0.00,783.00,13.00,3.00,5.05556,1.16667,0.00,0.00,0.00,0.00,0.00,0.00,3243.00,611.00,0.00,0.00,0.00,1215031.00,773.00,18.00,11.00,9838.00,6012.11111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16943.00,0.00,1064711.00,0.00,1064151.00,1.00,39590.00,24908.00,0.00,732.00,24908.00,0.00,317574.00,2784.00,314790.00,314790.00,150647.00,0.00,0.00,0.00,0.00,0.00,1116.00,0.00,0.00,122144.00,122144.00,705248.00,705248.00,0.00,2.00,0.00,0.00,24960.00,0.00,455.00,390.00,16943.00,0.00,0.00
350,1.76,71.04,4.97528E+10,4.97528E+10,10536.00,0.00,1435.00,0.25294,0.00,0.00,0.00,0.00,0.00,0.00,7064.00,1.22816,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1468.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,133.00,81.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5697.00,0.00,14291.00,0.00,14278.00,1.00,330.00,304.00,0.00,0.00,304.00,0.00,4224.00,1.00,4223.00,4223.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3584.00,3584.00,16000.00,16000.00,0.00,76.00,0.00,0.00,780608.00,0.00,2692.00,12197.00,5697.00,0.00,0.00
353,0.32,70.88,4.97528E+10,4.97528E+10,4086.00,0.00,1722.00,0.13211,0.00,0.00,0.00,0.00,0.00,0.00,888.00,0.07055,0.00,0.00,140.00,13.00,3.00,1.08333,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1849.00,70.00,0.00,0.00,0.00,1100.00,0.00,18.00,11.00,15.50,9.47222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,1380.00,0.00,1240.00,1.00,97.00,155.00,0.00,2.00,155.00,0.00,486.00,21.00,465.00,465.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568.00,1568.00,2496.00,2496.00,0.00,0.00,0.00,0.00,5056.00,0.00,213.00,79.00,174.00,0.00,0.00
356,0.64,71.68,4.97528E+10,4.97528E+10,5403.00,0.00,1373.00,0.1589,0.00,0.00,0.00,0.00,0.00,0.00,2548.00,0.29489,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1471.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,133.00,81.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1547.00,0.00,14233.00,0.00,14042.00,1.00,306.00,304.00,0.00,1.00,304.00,0.00,4224.00,1.00,4223.00,4223.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,4000.00,10496.00,10496.00,0.00,70.00,0.00,0.00,192.00,0.00,15084.00,3.00,1547.00,0.00,0.00
359,0.32,71.52,4.97528E+10,4.97528E+10,3899.00,0.00,1476.00,0.12552,0.00,0.00,0.00,0.00,0.00,0.00,704.00,0.05984,0.00,0.00,36.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1536.00,18.00,0.00,0.00,0.00,270.00,0.00,18.00,11.00,4.50,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,182.00,0.00,208.00,1.00,22.00,43.00,0.00,0.00,43.00,0.00,110.00,1.00,109.00,109.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.00,576.00,928.00,928.00,0.00,0.00,0.00,0.00,1024.00,0.00,61.00,16.00,77.00,0.00,0.00
362,1.12,72.32,4.97528E+10,4.97528E+10,5797.00,0.00,1599.00,0.30867,0.00,0.00,0.00,0.00,0.00,0.00,2552.00,0.51686,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,1647.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,133.00,81.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1649.00,0.00,14197.00,0.00,14165.00,1.00,272.00,304.00,0.00,0.00,304.00,0.00,4224.00,1.00,4223.00,4223.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3712.00,3712.00,10528.00,10528.00,0.00,75.00,0.00,0.00,192.00,0.00,14973.00,3.00,1649.00,0.00,0.00
