D:/DX3D/ToyEngine/WilsonsEngine/Document/singleThread.rdc - Frame #938

 EID  | Event                                                            | Action #
192   |   - ClearDepthStencilView(1.00, 0)                               | 75    
193   |   - ClearDepthStencilView(1.00, 0)                               | 76    
194   |   - ClearDepthStencilView(1.00, 0)                               | 77    
195   |   - ClearDepthStencilView(1.00, 0)                               | 78    
196   |   - ClearDepthStencilView(1.00, 0)                               | 79    
197   |   - ClearDepthStencilView(1.00, 0)                               | 80    
198   |   - ClearDepthStencilView(1.00, 0)                               | 81    
199   |   - ClearDepthStencilView(1.00, 0)                               | 82    
200   |   - ClearDepthStencilView(1.00, 0)                               | 83    
201   |   - ClearDepthStencilView(1.00, 0)                               | 84    
202   |   - ClearDepthStencilView(1.00, 0)                               | 85    
203   |   - ClearDepthStencilView(1.00, 0)                               | 86    
204   |   - ClearDepthStencilView(1.00, 0)                               | 87    
205   |   - ClearDepthStencilView(1.00, 0)                               | 88    
206   |   - ClearDepthStencilView(1.00, 0)                               | 89    
207   |   - ClearDepthStencilView(1.00, 0)                               | 90    
208   |   - ClearDepthStencilView(1.00, 0)                               | 91    
209   |   - ClearDepthStencilView(1.00, 0)                               | 92    
210   |   - ClearDepthStencilView(1.00, 0)                               | 93    
211   |   - ClearDepthStencilView(1.00, 0)                               | 94    
221   | - DrawIndexedInstanced(6, 1)                                     | 95    
315   | - DrawIndexedInstanced(36, 1)                                    | 96    
334   | - DrawIndexedInstanced(6, 1)                                     | 97    
355   | - DrawIndexedInstanced(6, 1)                                     | 98    
362   | - DrawIndexedInstanced(6, 1)                                     | 99    
389   | - DrawIndexedInstanced(6, 1)                                     | 100   
407   | - DrawIndexedInstanced(6, 1)                                     | 101   
492   | - Colour Pass #1 (1 Targets + Depth)                             | 102-124
420   |  \- DrawIndexedInstanced(6, 1)                                   | 102   
423   |   - DrawIndexedInstanced(1719, 1)                                | 103   
426   |   - DrawIndexedInstanced(6, 1)                                   | 104   
429   |   - DrawIndexedInstanced(210, 1)                                 | 105   
432   |   - DrawIndexedInstanced(6, 1)                                   | 106   
435   |   - DrawIndexedInstanced(54, 1)                                  | 107   
438   |   - DrawIndexedInstanced(6, 1)                                   | 108   
441   |   - DrawIndexedInstanced(90, 1)                                  | 109   
444   |   - DrawIndexedInstanced(6, 1)                                   | 110   
447   |   - DrawIndexedInstanced(96, 1)                                  | 111   
450   |   - DrawIndexedInstanced(6, 1)                                   | 112   
453   |   - DrawIndexedInstanced(276, 1)                                 | 113   
456   |   - DrawIndexedInstanced(849, 1)                                 | 114   
459   |   - DrawIndexedInstanced(6, 1)                                   | 115   
462   |   - DrawIndexedInstanced(96, 1)                                  | 116   
465   |   - DrawIndexedInstanced(6, 1)                                   | 117   
468   |   - DrawIndexedInstanced(60, 1)                                  | 118   
471   |   - DrawIndexedInstanced(6, 1)                                   | 119   
474   |   - DrawIndexedInstanced(54, 1)                                  | 120   
477   |   - DrawIndexedInstanced(132, 1)                                 | 121   
480   |   - DrawIndexedInstanced(174, 1)                                 | 122   
483   |   - DrawIndexedInstanced(36, 1)                                  | 123   
486   |   - DrawIndexedInstanced(24, 1)                                  | 124   
488   | - => ExecuteCommandLists(2)[1]: Close(Baked Command List 3335)   | 125   
490   | - Present(D3D12::m_pScreenTex)                                   | 125   
