EID,GPU Duration (レs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,HS Invocations,DS Invocations,GS Invocations,PS Invocations,CS Invocations,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusyCycles (cycles),HSSALUBusyCycles (cycles),DSVerticesIn,DSVALUInstCount,DSSALUInstCount,DSVALUBusyCycles (cycles),DSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
429,3.84,210,70,0,70,70,1100,140,0,0,0,1100,0,0.32,70.88,4.16821E+10,4.16816E+10,4445.00,0.00,1910.00,0.1375,0.00,0.00,0.00,0.00,0.00,0.00,946.00,0.07042,0.00,0.00,140.00,13.00,3.00,1.08333,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025.00,70.00,0.00,0.00,0.00,1100.00,0.00,18.00,11.00,15.50,9.47222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.00,0.00,1275.00,0.00,1264.00,1.00,97.00,155.00,0.00,2.00,155.00,0.00,486.00,21.00,465.00,465.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568.00,1568.00,2336.00,2336.00,0.00,0.00,0.00,0.00,5120.00,0.00,221.00,80.00,154.00,0.00,0.00
432,7.52,6,2,0,2,2,16256,4,0,0,0,16256,0,0.48,71.36,4.16821E+10,4.16816E+10,5799.00,0.00,1757.00,0.14543,0.00,0.00,0.00,0.00,0.00,0.00,2544.00,0.21556,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1564.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,131.00,80.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1645.00,0.00,14278.00,0.00,14262.00,1.00,298.00,304.00,0.00,0.00,304.00,0.00,4160.00,0.00,4160.00,4160.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4128.00,4128.00,10464.00,10464.00,0.00,77.00,0.00,0.00,192.00,0.00,15033.00,3.00,1645.00,0.00,0.00
435,3.68,54,18,0,18,18,270,36,0,0,0,270,0,0.32,71.20,4.16821E+10,4.16816E+10,3892.00,0.00,1595.00,0.13114,0.00,0.00,0.00,0.00,0.00,0.00,681.00,0.05586,0.00,0.00,36.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1695.00,18.00,0.00,0.00,0.00,270.00,0.00,18.00,11.00,4.50,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,270.00,0.00,270.00,1.00,20.00,42.00,0.00,1.00,42.00,0.00,115.00,3.00,112.00,112.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.00,512.00,896.00,896.00,0.00,0.00,0.00,0.00,1024.00,0.00,66.00,16.00,93.00,0.00,0.00
438,6.72,6,2,0,2,2,16256,4,0,0,0,16256,0,0.64,72.64,4.16821E+10,4.16816E+10,5665.00,0.00,1537.00,0.17364,0.00,0.00,0.00,0.00,0.00,0.00,2540.00,0.27418,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1862.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,131.00,80.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1616.00,0.00,14236.00,0.00,14244.00,1.00,264.00,304.00,0.00,0.00,304.00,0.00,4160.00,0.00,4160.00,4160.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4160.00,4160.00,10432.00,10432.00,0.00,70.00,0.00,0.00,128.00,0.00,13777.00,2.00,1616.00,0.00,0.00
441,3.68,90,30,0,30,30,469,60,0,0,0,469,0,0.64,73.12,4.16821E+10,4.16816E+10,4036.00,0.00,1662.00,0.26355,0.00,0.00,0.00,0.00,0.00,0.00,752.00,0.11541,0.00,0.00,60.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1783.00,30.00,0.00,0.00,0.00,469.00,0.00,18.00,11.00,7.00,4.27778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,589.00,0.00,589.00,1.00,31.00,74.00,0.00,1.00,74.00,0.00,194.00,6.00,188.00,188.00,469.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896.00,896.00,1152.00,1152.00,0.00,0.00,0.00,0.00,1600.00,0.00,115.00,25.00,93.00,0.00,0.00
444,6.88,6,2,0,2,2,16256,4,0,0,0,16256,0,1.12,73.12,4.16821E+10,4.16816E+10,5676.00,0.00,1504.00,0.29677,0.00,0.00,0.00,0.00,0.00,0.00,2561.00,0.49369,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1553.00,2.00,0.00,0.00,0.00,16256.00,0.00,18.00,11.00,131.00,80.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1574.00,0.00,14207.00,0.00,14181.00,1.00,347.00,304.00,0.00,0.00,304.00,0.00,4160.00,0.00,4160.00,4160.00,3712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4128.00,4128.00,10208.00,10208.00,0.00,80.00,0.00,0.00,128.00,0.00,15104.00,2.00,1574.00,0.00,0.00
447,3.52,96,32,0,32,32,499,64,0,0,0,499,0,0.64,73.76,4.16821E+10,4.16816E+10,3897.00,0.00,1704.00,0.27985,0.00,0.00,0.00,0.00,0.00,0.00,577.00,0.09156,0.00,0.00,64.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1855.00,32.00,0.00,0.00,0.00,499.00,0.00,18.00,11.00,7.50,4.58333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,513.00,0.00,516.00,1.00,40.00,75.00,0.00,0.00,75.00,0.00,205.00,3.00,202.00,202.00,499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,928.00,928.00,1344.00,1344.00,0.00,0.00,0.00,0.00,1344.00,0.00,124.00,21.00,93.00,0.00,0.00
450,184.48,6,2,0,2,2,562302,4,0,0,0,562302,0,105.12,178.88,4.16821E+10,4.16816E+10,141209.00,0.00,1534.00,1.14195,0.00,0.00,0.00,0.00,0.00,0.00,138805.00,102.73816,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1582.00,2.00,0.00,0.00,0.00,562302.00,0.00,18.00,11.00,4410.00,2695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137290.00,0.00,492107.00,0.00,492152.00,1.00,121001.00,9214.00,0.00,0.00,9214.00,0.00,141098.00,0.00,141098.00,141098.00,19710.00,0.00,0.00,0.00,0.00,0.00,464.00,0.00,0.00,68544.00,68544.00,1049120.00,1049120.00,0.00,9284.00,0.00,0.00,1.88240E+07,0.00,90275.00,294055.00,137290.00,0.00,0.00
453,4.64,276,92,0,92,92,5078,168,0,0,0,5078,0,0.32,178.88,4.16821E+10,4.16816E+10,4857.00,0.00,2149.00,0.14159,0.00,0.00,0.00,0.00,0.00,0.00,1029.00,0.06959,0.00,0.00,168.00,13.00,3.00,1.08333,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2092.00,92.00,0.00,0.00,0.00,5078.00,0.00,18.00,11.00,51.50,31.47222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,5354.00,0.00,4759.00,1.00,153.00,343.00,0.00,10.00,343.00,0.00,1664.00,38.00,1626.00,1626.00,3798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3808.00,3808.00,15264.00,15264.00,0.00,0.00,0.00,0.00,9152.00,0.00,171.00,143.00,186.00,0.00,0.00
456,7.20,849,283,0,283,283,32151,562,0,0,0,32151,0,0.48,148.16,4.16821E+10,4.16816E+10,6606.00,0.00,4145.00,0.30118,0.00,0.00,0.00,0.00,0.00,0.00,3015.00,0.21858,0.00,0.00,564.00,13.00,3.00,3.61111,0.83333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3858.00,283.00,0.00,0.00,0.00,32151.00,0.00,18.00,11.00,302.00,184.55556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,707.00,0.00,29033.00,0.00,29234.00,1.00,978.00,1425.00,0.00,14.00,1425.00,0.00,9714.00,70.00,9644.00,9644.00,24663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20896.00,20896.00,51424.00,51424.00,0.00,0.00,0.00,0.00,16640.00,0.00,498.00,260.00,707.00,0.00,0.00
459,6.40,6,2,0,2,2,256,4,0,0,0,256,0,0.16,114.56,4.16821E+10,4.16816E+10,5940.00,0.00,1594.00,0.04294,0.00,0.00,0.00,0.00,0.00,0.00,3153.00,0.08306,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1632.00,2.00,0.00,0.00,0.00,256.00,0.00,18.00,11.00,2.50,1.52778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1686.00,0.00,256.00,0.00,264.00,1.00,2.00,12.00,0.00,0.00,12.00,0.00,72.00,0.00,72.00,72.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.00,256.00,672.00,672.00,0.00,97.00,0.00,0.00,65728.00,0.00,4.00,1027.00,1686.00,0.00,0.00
