C:\Users\USER\AppData\Local\Temp\RenderDoc\DX11_2024.02.26_13.47.00_frame9147.rdc - Frame #9147

 EID  | Event                                                 | Action #
1715  |   - DrawIndexed(4122)                                 | 116   
1730  |   - DrawIndexed(1152)                                 | 117   
1745  |   - DrawIndexed(18)                                   | 118   
1763  |   - DrawIndexed(17553)                                | 119   
1781  |   - DrawIndexed(6048)                                 | 120   
1799  |   - DrawIndexed(6048)                                 | 121   
1817  |   - DrawIndexed(5076)                                 | 122   
1835  |   - DrawIndexed(5076)                                 | 123   
1853  |   - DrawIndexed(5076)                                 | 124   
1871  |   - DrawIndexed(5076)                                 | 125   
1889  |   - DrawIndexed(5076)                                 | 126   
1907  |   - DrawIndexed(5076)                                 | 127   
1925  |   - DrawIndexed(5076)                                 | 128   
1943  |   - DrawIndexed(5076)                                 | 129   
1961  |   - DrawIndexed(5076)                                 | 130   
1979  |   - DrawIndexed(5076)                                 | 131   
1997  |   - DrawIndexed(5076)                                 | 132   
2015  |   - DrawIndexed(282)                                  | 133   
2033  |   - DrawIndexed(282)                                  | 134   
2051  |   - DrawIndexed(1368)                                 | 135   
2069  |   - DrawIndexed(1368)                                 | 136   
2087  |   - DrawIndexed(1368)                                 | 137   
2105  |   - DrawIndexed(1368)                                 | 138   
2123  |   - DrawIndexed(1368)                                 | 139   
2141  |   - DrawIndexed(1368)                                 | 140   
2159  |   - DrawIndexed(1368)                                 | 141   
2177  |   - DrawIndexed(1368)                                 | 142   
2195  |   - DrawIndexed(1368)                                 | 143   
2213  |   - DrawIndexed(1368)                                 | 144   
2231  |   - DrawIndexed(1368)                                 | 145   
2249  |   - DrawIndexed(1368)                                 | 146   
2267  |   - DrawIndexed(1368)                                 | 147   
2285  |   - DrawIndexed(1368)                                 | 148   
2303  |   - DrawIndexed(1368)                                 | 149   
2321  |   - DrawIndexed(1368)                                 | 150   
2339  |   - DrawIndexed(1368)                                 | 151   
2357  |   - DrawIndexed(1368)                                 | 152   
2375  |   - DrawIndexed(1368)                                 | 153   
2393  |   - DrawIndexed(1368)                                 | 154   
2411  |   - DrawIndexed(1368)                                 | 155   
2429  |   - DrawIndexed(1368)                                 | 156   
2447  |   - DrawIndexed(1368)                                 | 157   
2465  |   - DrawIndexed(1368)                                 | 158   
2483  |   - DrawIndexed(1368)                                 | 159   
2501  |   - DrawIndexed(1368)                                 | 160   
2519  |   - DrawIndexed(1368)                                 | 161   
2537  |   - DrawIndexed(1368)                                 | 162   
2555  |   - DrawIndexed(1368)                                 | 163   
2573  |   - DrawIndexed(1368)                                 | 164   
2591  |   - DrawIndexed(1368)                                 | 165   
2609  |   - DrawIndexed(1368)                                 | 166   
2627  |   - DrawIndexed(1368)                                 | 167   
2645  |   - DrawIndexed(1368)                                 | 168   
2663  |   - DrawIndexed(1368)                                 | 169   
2681  |   - DrawIndexed(1368)                                 | 170   
2699  |   - DrawIndexed(1368)                                 | 171   
2717  |   - DrawIndexed(1368)                                 | 172   
2735  |   - DrawIndexed(1368)                                 | 173   
2753  |   - DrawIndexed(1368)                                 | 174   
2771  |   - DrawIndexed(1368)                                 | 175   
2789  |   - DrawIndexed(1368)                                 | 176   
2807  |   - DrawIndexed(1368)                                 | 177   
2825  |   - DrawIndexed(1368)                                 | 178   
2843  |   - DrawIndexed(1368)                                 | 179   
2861  |   - DrawIndexed(1368)                                 | 180   
2879  |   - DrawIndexed(1368)                                 | 181   
2897  |   - DrawIndexed(1368)                                 | 182   
2915  |   - DrawIndexed(1368)                                 | 183   
2933  |   - DrawIndexed(1368)                                 | 184   
2951  |   - DrawIndexed(216)                                  | 185   
2969  |   - DrawIndexed(216)                                  | 186   
2987  |   - DrawIndexed(216)                                  | 187   
3005  |   - DrawIndexed(216)                                  | 188   
3023  |   - DrawIndexed(216)                                  | 189   
3041  |   - DrawIndexed(216)                                  | 190   
3059  |   - DrawIndexed(216)                                  | 191   
3077  |   - DrawIndexed(216)                                  | 192   
3095  |   - DrawIndexed(216)                                  | 193   
3113  |   - DrawIndexed(216)                                  | 194   
3131  |   - DrawIndexed(216)                                  | 195   
3149  |   - DrawIndexed(216)                                  | 196   
3167  |   - DrawIndexed(216)                                  | 197   
3185  |   - DrawIndexed(216)                                  | 198   
3203  |   - DrawIndexed(216)                                  | 199   
3221  |   - DrawIndexed(216)                                  | 200   
3239  |   - DrawIndexed(216)                                  | 201   
3257  |   - DrawIndexed(216)                                  | 202   
3275  |   - DrawIndexed(216)                                  | 203   
3293  |   - DrawIndexed(216)                                  | 204   
3311  |   - DrawIndexed(216)                                  | 205   
3329  |   - DrawIndexed(216)                                  | 206   
3347  |   - DrawIndexed(216)                                  | 207   
3365  |   - DrawIndexed(216)                                  | 208   
3383  |   - DrawIndexed(216)                                  | 209   
3401  |   - DrawIndexed(216)                                  | 210   
3419  |   - DrawIndexed(216)                                  | 211   
3437  |   - DrawIndexed(216)                                  | 212   
3455  |   - DrawIndexed(10869)                                | 213   
3470  |   - DrawIndexed(192)                                  | 214   
3485  |   - DrawIndexed(228)                                  | 215   
3503  |   - DrawIndexed(10869)                                | 216   
3518  |   - DrawIndexed(192)                                  | 217   
3533  |   - DrawIndexed(228)                                  | 218   
3551  |   - DrawIndexed(10869)                                | 219   
3566  |   - DrawIndexed(192)                                  | 220   
3581  |   - DrawIndexed(228)                                  | 221   
3599  |   - DrawIndexed(10869)                                | 222   
3614  |   - DrawIndexed(192)                                  | 223   
3629  |   - DrawIndexed(228)                                  | 224   
3647  |   - DrawIndexed(10869)                                | 225   
3662  |   - DrawIndexed(192)                                  | 226   
3677  |   - DrawIndexed(228)                                  | 227   
3695  |   - DrawIndexed(10869)                                | 228   
3710  |   - DrawIndexed(192)                                  | 229   
3725  |   - DrawIndexed(228)                                  | 230   
3743  |   - DrawIndexed(10869)                                | 231   
3758  |   - DrawIndexed(192)                                  | 232   
3773  |   - DrawIndexed(228)                                  | 233   
3791  |   - DrawIndexed(10869)                                | 234   
3806  |   - DrawIndexed(192)                                  | 235   
3821  |   - DrawIndexed(228)                                  | 236   
3839  |   - DrawIndexed(10869)                                | 237   
3854  |   - DrawIndexed(192)                                  | 238   
3869  |   - DrawIndexed(228)                                  | 239   
3887  |   - DrawIndexed(10869)                                | 240   
3902  |   - DrawIndexed(192)                                  | 241   
3917  |   - DrawIndexed(228)                                  | 242   
3935  |   - DrawIndexed(10869)                                | 243   
3950  |   - DrawIndexed(192)                                  | 244   
3965  |   - DrawIndexed(228)                                  | 245   
3983  |   - DrawIndexed(10869)                                | 246   
3998  |   - DrawIndexed(192)                                  | 247   
4013  |   - DrawIndexed(228)                                  | 248   
4031  |   - DrawIndexed(10869)                                | 249   
4046  |   - DrawIndexed(192)                                  | 250   
4061  |   - DrawIndexed(228)                                  | 251   
4079  |   - DrawIndexed(10869)                                | 252   
4094  |   - DrawIndexed(192)                                  | 253   
4109  |   - DrawIndexed(228)                                  | 254   
4127  |   - DrawIndexed(10869)                                | 255   
4142  |   - DrawIndexed(192)                                  | 256   
4157  |   - DrawIndexed(228)                                  | 257   
4175  |   - DrawIndexed(10869)                                | 258   
4190  |   - DrawIndexed(192)                                  | 259   
4205  |   - DrawIndexed(228)                                  | 260   
4223  |   - DrawIndexed(31986)                                | 261   
4238  |   - DrawIndexed(72)                                   | 262   
4253  |   - DrawIndexed(192)                                  | 263   
4268  |   - DrawIndexed(228)                                  | 264   
4286  |   - DrawIndexed(31986)                                | 265   
4301  |   - DrawIndexed(72)                                   | 266   
4316  |   - DrawIndexed(192)                                  | 267   
4331  |   - DrawIndexed(228)                                  | 268   
4349  |   - DrawIndexed(31962)                                | 269   
4364  |   - DrawIndexed(72)                                   | 270   
4379  |   - DrawIndexed(216)                                  | 271   
4394  |   - DrawIndexed(228)                                  | 272   
4412  |   - DrawIndexed(31986)                                | 273   
4427  |   - DrawIndexed(72)                                   | 274   
4442  |   - DrawIndexed(192)                                  | 275   
4457  |   - DrawIndexed(228)                                  | 276   
4475  |   - DrawIndexed(31986)                                | 277   
4490  |   - DrawIndexed(72)                                   | 278   
4505  |   - DrawIndexed(192)                                  | 279   
4520  |   - DrawIndexed(228)                                  | 280   
4538  |   - DrawIndexed(31986)                                | 281   
4553  |   - DrawIndexed(72)                                   | 282   
4568  |   - DrawIndexed(192)                                  | 283   
4583  |   - DrawIndexed(228)                                  | 284   
4601  |   - DrawIndexed(31986)                                | 285   
4616  |   - DrawIndexed(72)                                   | 286   
4631  |   - DrawIndexed(192)                                  | 287   
4646  |   - DrawIndexed(228)                                  | 288   
4664  |   - DrawIndexed(31986)                                | 289   
4679  |   - DrawIndexed(72)                                   | 290   
4694  |   - DrawIndexed(192)                                  | 291   
4709  |   - DrawIndexed(228)                                  | 292   
4727  |   - DrawIndexed(31986)                                | 293   
4742  |   - DrawIndexed(72)                                   | 294   
4757  |   - DrawIndexed(192)                                  | 295   
4772  |   - DrawIndexed(228)                                  | 296   
4790  |   - DrawIndexed(31986)                                | 297   
4805  |   - DrawIndexed(72)                                   | 298   
4820  |   - DrawIndexed(192)                                  | 299   
4835  |   - DrawIndexed(228)                                  | 300   
4853  |   - DrawIndexed(31986)                                | 301   
4868  |   - DrawIndexed(72)                                   | 302   
4883  |   - DrawIndexed(192)                                  | 303   
4898  |   - DrawIndexed(228)                                  | 304   
4916  |   - DrawIndexed(31986)                                | 305   
4931  |   - DrawIndexed(72)                                   | 306   
4946  |   - DrawIndexed(192)                                  | 307   
4961  |   - DrawIndexed(228)                                  | 308   
4979  |   - DrawIndexed(1200)                                 | 309   
4997  |   - DrawIndexed(1200)                                 | 310   
5015  |   - DrawIndexed(768)                                  | 311   
5033  |   - DrawIndexed(1668)                                 | 312   
5051  |   - DrawIndexed(4224)                                 | 313   
5066  |   - DrawIndexed(6)                                    | 314   
5084  |   - DrawIndexed(24)                                   | 315   
5102  |   - DrawIndexed(4224)                                 | 316   
5120  |   - DrawIndexed(24)                                   | 317   
5138  |   - DrawIndexed(30)                                   | 318   
5156  |   - DrawIndexed(6)                                    | 319   
5174  |   - DrawIndexed(378)                                  | 320   
5189  |   - DrawIndexed(1494)                                 | 321   
5207  |   - DrawIndexed(2808)                                 | 322   
5225  |   - DrawIndexed(2172)                                 | 323   
5243  |   - DrawIndexed(8355)                                 | 324   
5258  |   - DrawIndexed(2415)                                 | 325   
5276  |   - DrawIndexed(3492)                                 | 326   
5294  |   - DrawIndexed(6)                                    | 327   
5312  |   - DrawIndexed(6)                                    | 328   
5330  |   - DrawIndexed(6)                                    | 329   
5348  |   - DrawIndexed(6)                                    | 330   
5366  |   - DrawIndexed(2940)                                 | 331   
5384  |   - DrawIndexed(6)                                    | 332   
5402  |   - DrawIndexed(4224)                                 | 333   
5420  |   - DrawIndexed(6)                                    | 334   
5438  |   - DrawIndexed(4224)                                 | 335   
5456  |   - DrawIndexed(540)                                  | 336   
5474  |   - DrawIndexed(3708)                                 | 337   
5492  |   - DrawIndexed(3492)                                 | 338   
5510  |   - DrawIndexed(6)                                    | 339   
5528  |   - DrawIndexed(4224)                                 | 340   
5546  |   - DrawIndexed(3447)                                 | 341   
5561  |   - DrawIndexed(17814)                                | 342   
5576  |   - DrawIndexed(1842)                                 | 343   
5591  |   - DrawIndexed(360)                                  | 344   
5609  |   - DrawIndexed(294)                                  | 345   
5627  |   - DrawIndexed(2304)                                 | 346   
5645  |   - DrawIndexed(2304)                                 | 347   
5663  |   - DrawIndexed(12528)                                | 348   
5681  |   - DrawIndexed(12528)                                | 349   
5699  |   - DrawIndexed(12528)                                | 350   
5717  |   - DrawIndexed(12528)                                | 351   
5735  |   - DrawIndexed(12528)                                | 352   
5753  |   - DrawIndexed(1236)                                 | 353   
5768  |   - DrawIndexed(240)                                  | 354   
5786  |   - DrawIndexed(3198)                                 | 355   
5801  |   - DrawIndexed(240)                                  | 356   
5819  |   - DrawIndexed(8850)                                 | 357   
5834  |   - DrawIndexed(1740)                                 | 358   
5852  |   - DrawIndexed(8850)                                 | 359   
5867  |   - DrawIndexed(1740)                                 | 360   
5885  |   - DrawIndexed(3666)                                 | 361   
5900  |   - DrawIndexed(138)                                  | 362   
5918  |   - DrawIndexed(3666)                                 | 363   
5933  |   - DrawIndexed(138)                                  | 364   
5951  |   - DrawIndexed(978)                                  | 365   
5966  |   - DrawIndexed(24)                                   | 366   
5984  |   - DrawIndexed(978)                                  | 367   
5999  |   - DrawIndexed(24)                                   | 368   
6017  |   - DrawIndexed(3690)                                 | 369   
6035  |   - DrawIndexed(3690)                                 | 370   
6053  |   - DrawIndexed(3690)                                 | 371   
6071  |   - DrawIndexed(3690)                                 | 372   
6089  |   - DrawIndexed(3690)                                 | 373   
6107  |   - DrawIndexed(3690)                                 | 374   
6125  |   - DrawIndexed(3690)                                 | 375   
6143  |   - DrawIndexed(3690)                                 | 376   
6161  |   - DrawIndexed(3690)                                 | 377   
6179  |   - DrawIndexed(2292)                                 | 378   
6197  |   - DrawIndexed(2292)                                 | 379   
6215  |   - DrawIndexed(2292)                                 | 380   
6233  |   - DrawIndexed(2292)                                 | 381   
6251  |   - DrawIndexed(2292)                                 | 382   
6269  |   - DrawIndexed(2292)                                 | 383   
6287  |   - DrawIndexed(2292)                                 | 384   
6305  |   - DrawIndexed(2292)                                 | 385   
6323  |   - DrawIndexed(2292)                                 | 386   
6341  |   - DrawIndexed(2292)                                 | 387   
6359  |   - DrawIndexed(2292)                                 | 388   
6377  |   - DrawIndexed(4290)                                 | 389   
6392  |   - DrawIndexed(6)                                    | 390   
6410  |   - DrawIndexed(4290)                                 | 391   
6425  |   - DrawIndexed(6)                                    | 392   
6443  |   - DrawIndexed(5124)                                 | 393   
6461  |   - DrawIndexed(5124)                                 | 394   
6479  |   - DrawIndexed(1866)                                 | 395   
6494  |   - DrawIndexed(12606)                                | 396   
6509  |   - DrawIndexed(80574)                                | 397   
6524  |   - DrawIndexed(534)                                  | 398   
6539  |   - DrawIndexed(6)                                    | 399   
6557  |   - DrawIndexed(966)                                  | 400   
6572  |   - DrawIndexed(504)                                  | 401   
6587  |   - DrawIndexed(42)                                   | 402   
6605  |   - DrawIndexed(966)                                  | 403   
6620  |   - DrawIndexed(504)                                  | 404   
6635  |   - DrawIndexed(42)                                   | 405   
6653  |   - DrawIndexed(966)                                  | 406   
6668  |   - DrawIndexed(504)                                  | 407   
6683  |   - DrawIndexed(42)                                   | 408   
6701  |   - DrawIndexed(966)                                  | 409   
6716  |   - DrawIndexed(504)                                  | 410   
6731  |   - DrawIndexed(42)                                   | 411   
6749  |   - DrawIndexed(966)                                  | 412   
6764  |   - DrawIndexed(504)                                  | 413   
6779  |   - DrawIndexed(42)                                   | 414   
6797  |   - DrawIndexed(966)                                  | 415   
6812  |   - DrawIndexed(504)                                  | 416   
6827  |   - DrawIndexed(42)                                   | 417   
6845  |   - DrawIndexed(966)                                  | 418   
6860  |   - DrawIndexed(504)                                  | 419   
6875  |   - DrawIndexed(42)                                   | 420   
6893  |   - DrawIndexed(966)                                  | 421   
6908  |   - DrawIndexed(504)                                  | 422   
6923  |   - DrawIndexed(42)                                   | 423   
6941  |   - DrawIndexed(966)                                  | 424   
6956  |   - DrawIndexed(504)                                  | 425   
6971  |   - DrawIndexed(42)                                   | 426   
6989  |   - DrawIndexed(966)                                  | 427   
7004  |   - DrawIndexed(504)                                  | 428   
7019  |   - DrawIndexed(42)                                   | 429   
7037  |   - DrawIndexed(966)                                  | 430   
7052  |   - DrawIndexed(504)                                  | 431   
7067  |   - DrawIndexed(42)                                   | 432   
7085  |   - DrawIndexed(3516)                                 | 433   
7100  |   - DrawIndexed(2208)                                 | 434   
7118  |   - DrawIndexed(10080)                                | 435   
7136  |   - DrawIndexed(10080)                                | 436   
7154  |   - DrawIndexed(10080)                                | 437   
7172  |   - DrawIndexed(10080)                                | 438   
7190  |   - DrawIndexed(10080)                                | 439   
7208  |   - DrawIndexed(10080)                                | 440   
7226  |   - DrawIndexed(10080)                                | 441   
7244  |   - DrawIndexed(10080)                                | 442   
7262  |   - DrawIndexed(10080)                                | 443   
7280  |   - DrawIndexed(10080)                                | 444   
7298  |   - DrawIndexed(3978)                                 | 445   
7313  |   - DrawIndexed(6468)                                 | 446   
7331  |   - DrawIndexed(3978)                                 | 447   
7346  |   - DrawIndexed(6468)                                 | 448   
7364  |   - DrawIndexed(1524)                                 | 449   
7379  |   - DrawIndexed(11520)                                | 450   
7397  |   - DrawIndexed(1200)                                 | 451   
7412  |   - DrawIndexed(10080)                                | 452   
7430  |   - DrawIndexed(1200)                                 | 453   
7445  |   - DrawIndexed(10080)                                | 454   
7463  |   - DrawIndexed(54588)                                | 455   
7481  |   - DrawIndexed(54588)                                | 456   
7499  |   - DrawIndexed(54588)                                | 457   
7517  |   - DrawIndexed(54588)                                | 458   
7535  |   - DrawIndexed(54588)                                | 459   
7553  |   - DrawIndexed(54588)                                | 460   
7571  |   - DrawIndexed(54588)                                | 461   
7589  |   - DrawIndexed(54588)                                | 462   
7607  |   - DrawIndexed(54588)                                | 463   
7625  |   - DrawIndexed(54588)                                | 464   
7643  |   - DrawIndexed(54588)                                | 465   
7661  |   - DrawIndexed(54588)                                | 466   
7679  |   - DrawIndexed(54588)                                | 467   
7697  |   - DrawIndexed(54588)                                | 468   
7715  |   - DrawIndexed(54588)                                | 469   
7733  |   - DrawIndexed(54588)                                | 470   
7751  |   - DrawIndexed(54588)                                | 471   
7769  |   - DrawIndexed(54588)                                | 472   
7787  |   - DrawIndexed(54588)                                | 473   
7805  |   - DrawIndexed(54588)                                | 474   
7823  |   - DrawIndexed(54588)                                | 475   
7841  |   - DrawIndexed(54588)                                | 476   
7859  |   - DrawIndexed(54588)                                | 477   
7877  |   - DrawIndexed(54588)                                | 478   
7895  |   - DrawIndexed(1236)                                 | 479   
7913  |   - DrawIndexed(1236)                                 | 480   
7931  |   - DrawIndexed(1236)                                 | 481   
7949  |   - DrawIndexed(1236)                                 | 482   
7967  |   - DrawIndexed(1236)                                 | 483   
7985  |   - DrawIndexed(1236)                                 | 484   
8003  |   - DrawIndexed(1236)                                 | 485   
8021  |   - DrawIndexed(1236)                                 | 486   
8039  |   - DrawIndexed(390)                                  | 487   
8054  |   - DrawIndexed(72)                                   | 488   
8069  |   - DrawIndexed(3024)                                 | 489   
8084  |   - DrawIndexed(3780)                                 | 490   
8102  |   - DrawIndexed(390)                                  | 491   
8117  |   - DrawIndexed(72)                                   | 492   
8132  |   - DrawIndexed(2592)                                 | 493   
8147  |   - DrawIndexed(3888)                                 | 494   
8165  |   - DrawIndexed(714)                                  | 495   
8180  |   - DrawIndexed(648)                                  | 496   
8195  |   - DrawIndexed(1944)                                 | 497   
8210  |   - DrawIndexed(72)                                   | 498   
8228  |   - DrawIndexed(714)                                  | 499   
8243  |   - DrawIndexed(648)                                  | 500   
8258  |   - DrawIndexed(1944)                                 | 501   
8273  |   - DrawIndexed(72)                                   | 502   
8291  |   - DrawIndexed(714)                                  | 503   
8306  |   - DrawIndexed(648)                                  | 504   
8321  |   - DrawIndexed(1944)                                 | 505   
8336  |   - DrawIndexed(72)                                   | 506   
8354  |   - DrawIndexed(714)                                  | 507   
8369  |   - DrawIndexed(648)                                  | 508   
8384  |   - DrawIndexed(1944)                                 | 509   
8399  |   - DrawIndexed(72)                                   | 510   
