EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusyCycles (cycles),HSSALUBusyCycles (cycles),DSVerticesIn,DSVALUInstCount,DSSALUInstCount,DSVALUBusyCycles (cycles),DSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
40,79.68,81.44,1.06512E+10,1.06511E+10,104551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6360.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,79.52,238.88,1.06512E+10,1.06511E+10,105548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26057.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6252.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,79.36,81.76,1.06512E+10,1.06511E+10,103976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25462.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6524.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,79.04,81.44,1.06512E+10,1.06511E+10,103697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6006.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,79.04,81.60,1.06512E+10,1.06511E+10,104690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26776.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6138.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,79.04,80.96,1.06512E+10,1.06511E+10,103976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6004.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,78.72,317.76,1.06512E+10,1.06511E+10,103838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25823.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6342.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,78.56,394.88,1.06512E+10,1.06511E+10,103124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25408.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6278.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,78.24,80.96,1.06512E+10,1.06511E+10,104267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25881.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6544.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,78.08,81.12,1.06512E+10,1.06511E+10,104123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26783.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6238.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
